127.0.0.1 - - [11/Jun/2020:07:56:18 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [11/Jun/2020:13:30:39 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:13:33:12 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:13:34:14 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:13:37:38 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:13:38:41 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:13:50:07 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:13:50:54 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:13:55:07 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:13:57:13 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:14:16:16 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:14:17:10 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 22894406
0:0:0:0:0:0:0:1 - - [11/Jun/2020:14:17:19 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:14:23:40 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:14:27:17 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:14:32:28 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:14:39:02 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:15:04:02 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:15:05:13 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
